nyt_geo_term,google_geo_term,google_place_id,latitude,longitude,lat_ne_bound,lng_ne_bound,lat_sw_bound,lng_sw_bound,lat_ne_view,lng_ne_view,lat_sw_view,lng_sw_view,location_types
Utah,"Utah, USA",ChIJzfkTj8drTIcRP0bXbKVK370,39.3209801,-111.0937311,42.001618,-109.0410581,36.99790309999999,-114.0529979,"administrative_area_level_1,political"
Utica (NY),"Utica, NY, USA",ChIJKXZqNVE32YkRhvztGCY2GhE,43.100903,-75.232664,43.132269,-75.1609059,43.0644689,-75.295296,"locality,political"
Utoya (Norway),"Utøya, Dønna, Norway",ChIJzQ6DbF4ZdUYRGa5CFuHkfoU,66.22732859999999,12.5559329,66.2298284,12.5821638,66.22407410000001,12.5464871,"natural_feature,establishment"
Uzbekistan,Uzbekistan,ChIJsXbWpSCLrjgRIB6Efq1tCso,41.377491,64.585262,45.590075,73.148946,37.1722571,55.9982179,"country,political"
Valhalla (NY),"Valhalla, NY, USA",ChIJPbx3c4yVwokR-lz8amE_oik,41.0748188,-73.77513259999999,41.1244019,-73.74074879999999,41.062428,-73.7939359,"locality,political"
Valparaiso (Chile),"Valparaíso, Valparaíso, Valparaiso, Chile",ChIJx84g3uPdiZYRdpvhv4w6Cus,-33.047238,-71.61268849999999,-33.0178171,-71.5597684,-33.0835991,-71.6623287,"locality,political"
Van Wert (Ohio),"Van Wert, OH 45891, USA",ChIJ1UDOpsJqPogRZKEzVEBgGb4,40.8694927,-84.58412229999999,40.8962089,-84.55257809999999,40.8334841,-84.6286449,"locality,political"
Vancouver (British Columbia),"Vancouver, BC, Canada",ChIJs0-pQ_FzhlQRi_OBm-qWkbs,49.2827291,-123.1207375,49.3140764,-123.023068,49.19817700000001,-123.224759,"locality,political"
Vanuatu,Vanuatu,ChIJE2CSyF5giW4RaibQvs85gzQ,-15.376706,166.959158,-13.0724554,168.6490631,-17.8259718,166.5417588,"country,political"
Varanasi (India),"Varanasi, Uttar Pradesh, India",ChIJTc_rb7ctjjkRtfA_hRAXE2g,25.3176452,82.9739144,25.3956651,83.0607605,25.2458603,82.9214574,"locality,political"
Vatican City,Vatican City,ChIJPS3UVwqJJRMRsH46sppPCQA,41.902916,12.453389,41.90744309999999,12.4583938,41.9001896,12.4457286,"country,political"
Venezuela,Venezuela,ChIJAdjLNstTKIwR003VfFjyoNw,6.42375,-66.58973,12.770409,-59.80378,0.5438179,-73.4255611,"country,political"
Venice (Italy),"Venice, Italy",ChIJiT3W8dqxfkcRLxCSvfDGo3s,45.4408474,12.3155151,45.5779746,12.5966574,45.233455,12.1668278,"locality,political"
Verdun (France),"Verdun, France",ChIJ3eslG5Qb60cRQMw6mrlfCgQ,49.15987639999999,5.3844231,49.1752309,5.440726,49.11274,5.281045,"locality,political"
Vermont,"Vermont, USA",ChIJ_87aSGzctEwRtGtUNnSJTSY,44.5588028,-72.57784149999999,45.0166591,-71.46503899999999,42.7268499,-73.43055980000001,"administrative_area_level_1,political"
Vienna (Austria),"Vienna, Austria",ChIJn8o2UZ4HbUcRRluiUYrlwv0,48.2081743,16.3738189,48.3230999,16.5774999,48.1182699,16.1826199,"locality,political"
Vietnam,Vietnam,ChIJXx5qc016FTERvmL-4smwO7A,14.058324,108.277199,23.393395,109.4689483,8.4127295,102.14441,"country,political"
Vilnius (Lithuania),"Vilnius, Lithuania",ChIJ9QhkXPuT3UYRQNzpcIzRAAQ,54.6871555,25.2796514,54.832544,25.4814883,54.567798,25.024376,"locality,political"
Virginia,"Virginia, USA",ChIJzbK8vXDWTIgRlaZGt0lBTsA,37.4315734,-78.6568942,39.466012,-75.2421573,36.5407589,-83.675415,"administrative_area_level_1,political"
Vladivostok (Russia),"Vladivostok, Primorsky Krai, Russia",ChIJhdRJUrqcs18RNX6W3dQEZxg,43.1737387,132.0064506,43.289988,132.2311072,43.057424,131.840567,"locality,political"
Volgograd (Russia),"Volgograd, Volgograd Oblast, Russia",ChIJZ3ZbuHUzBUERQdpXzpwXDYg,48.708048,44.5133034,48.88889,44.687632,48.4519489,44.325783,"locality,political"
Waco (Tex),"Waco, TX, USA",ChIJ01EBI_GCT4YREKrR1gNL1_s,31.549333,-97.1466695,31.6599311,-97.04598,31.446727,-97.3291759,"locality,political"
Wales,"Wales, UK",ChIJ7Q8cbLY0ZEgRouilirxxux4,52.1306607,-3.7837117,53.4356935,-2.6497994,51.3749686,-5.482469699999999,"administrative_area_level_1,political"
"Wall Street (Manhattan, NY)","Wall St, New York, NY, USA",ChIJq8ztWxZawokRAa61A_Ddsiw,40.7059981,-74.0088439,40.707995,-74.0055825,40.7042609,-74.0122529,route
Wall Street (NYC),"Wall St, New York, NY, USA",ChIJq8ztWxZawokRAa61A_Ddsiw,40.7059981,-74.0088439,40.707995,-74.0055825,40.7042609,-74.0122529,route
Waller County (Tex),"Waller County, TX, USA",ChIJjwhpx_IxQYYRx1m0M9YXF8E,29.9751629,-96.02557379999999,30.2456451,-95.8036669,29.7279439,-96.1922079,"administrative_area_level_2,political"
Warroad (Minn),"Warroad, MN 56763, USA",ChIJLxcfGnQ8v1IR_qqlBRW_BdA,48.9052657,-95.31440409999999,48.951594,-95.297423,48.894334,-95.3612869,"locality,political"
Warsaw (Poland),"Warsaw, Poland",ChIJAZ-GmmbMHkcR_NPqiCq-8HI,52.2296756,21.0122287,52.3679992,21.2710983,52.0978767,20.8512898,"locality,political"
Washington (DC),"Washington, DC, USA",ChIJW-T2Wt7Gt4kRKl2I1CJFUsI,38.9071923,-77.0368707,38.995548,-76.909393,38.8031495,-77.11974,"locality,political"
Washington (State),"Washington, USA",ChIJ-bDD5__lhVQRuvNfbGh4QpQ,47.7510741,-120.7401386,49.0024564,-116.91558,45.5485987,-124.7857167,"administrative_area_level_1,political"
"Washington Heights (Manhattan, NY)","Washington Heights, New York, NY, USA",ChIJyzs3Vpz2wokRBAVKClFzdR4,40.8417082,-73.9393554,40.8595902,-73.9224529,40.8281291,-73.9505678,"neighborhood,political"
"Washington Navy Yard (Washington, DC)","Washington Navy Yard, Washington, DC, USA",ChIJ3f833s65t4kRzKh84pkK8CQ,38.8746334,-76.9945473,38.87645089999999,-76.9910288,38.871012,-76.99891459999999,"neighborhood,political"
Waterloo (Belgium),"Waterloo, Belgium",ChIJ2SF_LcPRw0cRgHJNL6uZAAQ,50.71469,4.3991,50.7359101,4.44118,50.6709,4.3548601,"locality,political"
Watertown (Mass),"Watertown, MA, USA",ChIJfdAx9hx444kRJW7GUCLxRV8,42.3709299,-71.1828321,42.3861756,-71.13982419999999,42.3580946,-71.2174629,"locality,political"
Waukesha (Wis),"Waukesha, WI, USA",ChIJV5eOlCamBYgRlZyYYTShLas,43.0116784,-88.2314813,43.059607,-88.17385,42.9509759,-88.30481379999999,"locality,political"
Waziristan (Pakistan),Waziristan,ChIJ882XiGUVKDkRBtK-Sy1GJRE,32.3202371,69.8597406,33.341626,70.8798146,31.7714685,69.24407959999999,"colloquial_area,political"
West (Tex),"West, TX 76691, USA",ChIJx6UMz2Z1T4YRRUWiHKb3Jfs,31.8023831,-97.0916692,31.824158,-97.077299,31.786333,-97.105137,"locality,political"
West Bank,West Bank,ChIJg8c7n5PVHBURHhNjWfZsm0Q,31.9465703,35.3027226,32.5520999,35.5740521,31.342602,34.880274,"administrative_area_level_1,political"
"West Village (Manhattan, NY)","West Village, New York, NY, USA",ChIJY1SflpRZwokRhLCM-FupOe8,40.735781,-74.0035709,40.7409452,-73.99685199999999,40.7283442,-74.0106976,"neighborhood,political"
West Village (NYC),"West Village, New York, NY, USA",ChIJY1SflpRZwokRhLCM-FupOe8,40.735781,-74.0035709,40.7409452,-73.99685199999999,40.7283442,-74.0106976,"neighborhood,political"
West Virginia,"West Virginia, USA",ChIJRQnL1KVUSogRQzrN3mjHALs,38.5976262,-80.4549026,40.638801,-77.7189679,37.2015399,-82.644413,"administrative_area_level_1,political"
Westchester County (NY),"Westchester County, NY, USA",ChIJr1lrnWrJwokRidu9ImLYDjc,41.1220194,-73.7948516,41.366375,-73.4827091,40.8764415,-73.98062070000002,"administrative_area_level_2,political"
Western States (US),"Western States Trail, Cool, CA 95614, USA",ChIJz443pVcGm4ARMukXwKlMtXo,38.9320167,-120.9664905,38.9374216,-120.9452033,38.9261755,-120.9880074,route
Whistler (British Columbia),"Whistler, BC V0N, Canada",ChIJh3uVA7I8h1QR9s_1dehBt0o,50.1163196,-122.9573563,50.175747,-122.8610199,50.032549,-123.1420102,"locality,political"
Wichita (Kan),"Wichita, KS, USA",ChIJLRh_0mrbuocRPj3TdL_VlpM,37.68717609999999,-97.33005299999999,37.8401999,-97.153025,37.557822,-97.53489200000001,"locality,political"
Willard (NY),"Willard, NY, USA",ChIJdcFf0gDr0IkRr-4AYICT-WU,42.6820889,-76.86856159999999,42.6915149,-76.85600869999999,42.6752687,-76.8834194,"locality,political"
"Willets Point (Queens, NY)","Willets Point, Queens, NY, USA",ChIJNVZf4glgwokRv0OJ665_RMc,40.7606911,-73.840436,40.7654453,-73.83720149999999,40.7554008,-73.8463854,"neighborhood,political"
"Williamsburg (Brooklyn, NY)","Williamsburg, Brooklyn, NY, USA",ChIJQSrBBv1bwokRbNfFHCnyeYI,40.7081156,-73.9570696,40.7251773,-73.936498,40.6979329,-73.96984499999999,"neighborhood,political"
Williamsburg (NYC),"Williamsburg, Brooklyn, NY, USA",ChIJQSrBBv1bwokRbNfFHCnyeYI,40.7081156,-73.9570696,40.7251773,-73.936498,40.6979329,-73.96984499999999,"neighborhood,political"
Williston (ND),"Williston, ND 58801, USA",ChIJ6zhwA2BbIVMR4_Gw_vwN_OA,48.1469683,-103.6179745,48.1904671,-103.576676,48.1396422,-103.6692751,"locality,political"
Wimberley (Tex),"Wimberley, TX, USA",ChIJw82cIChYW4YRpB8TFE0b2PY,29.9974362,-98.0986204,30.0165821,-98.043257,29.938132,-98.1320459,"locality,political"
Wisconsin,"Wisconsin, USA",ChIJr-OEkw_0qFIR1kmG-LjV1fI,43.7844397,-88.7878678,47.0807296,-86.7639767,42.491864,-92.88943309999999,"administrative_area_level_1,political"
"Wynwood (Miami, Fla)","Wynwood, Miami, FL, USA",ChIJcdFMSK222YgR6Qvhw20FP0c,25.8042441,-80.1989186,25.812375,-80.1908151,25.7945222,-80.2062698,"neighborhood,political"
Wyoming,"Wyoming, USA",ChIJaS7hSDTiXocRLzh90nkisCY,43.0759678,-107.2902839,45.005904,-104.0522449,40.994746,-111.056889,"administrative_area_level_1,political"
Xi'an (China),"Xi'an, Shaanxi, China",ChIJuResIul5YzYRLliUp_1m1IU,34.341575,108.93977,34.5166142,109.3029785,34.0021465,108.6314392,"locality,political"
Xian (China),"Xi'an, Shaanxi, China",ChIJuResIul5YzYRLliUp_1m1IU,34.341575,108.93977,34.5166142,109.3029785,34.0021465,108.6314392,"locality,political"
Xinjiang (China),"Xinjiang, China",ChIJq017_YwABjgRoQdnNuwWQag,43.793026,87.627704,49.1823419,96.38619419999999,34.334503,73.502355,"administrative_area_level_1,political"
Yangon (Myanmar),"Yangon, Myanmar (Burma)",ChIJaxk-Ip6UwTARtAsI-HHS-1Y,16.8660694,96.19513200000002,17.0788151,96.3432311,16.7288268,95.9957885,"locality,political"
Yangtze River (China),"Yangtze River, China",ChIJmwCe32rEKTQRn45JsNH9ado,30.5146485,112.8688374,32.3306287,121.1053013,28.6986682,104.6323735,"natural_feature,establishment"
Yarnell (Ariz),"Yarnell, AZ, USA",ChIJxekscJQx04ARIMbFVPFqrBc,34.2216927,-112.7474007,34.26009,-112.731836,34.2013928,-112.800863,"locality,political"
Yellowstone National Park,"Yellowstone National Park, WY 82190, USA",ChIJxbVfgaQfTlMRa-n8WQ9rYlU,44.4279684,-110.5884542,44.4359361,-110.5724468,44.4199996,-110.6044616,"locality,political"
Yemen,Yemen,ChIJX7w0fKzbAxYRrneufjcp8ZI,15.552727,48.516388,18.9996331,54.5341125,12.1081762,41.8160553,"country,political"
Yokohama (Japan),"Yokohama, Kanagawa Prefecture, Japan",ChIJCWW2u-xbGGARAFQoYPaDlgY,35.4437078,139.6380256,35.5113,139.674,35.4126,139.5645,"locality,political"
Yonkers (NY),"Yonkers, NY, USA",ChIJoa9DCQjAwokRotrYpIRzlr4,40.9312099,-73.89874689999999,40.98828109999999,-73.8106841,40.900479,-73.91124409999999,"locality,political"
"Yorkville (Manhattan, NY)","Yorkville, New York, NY, USA",ChIJH2Vx97pYwokReJuLV_O-lfA,40.7762231,-73.94920789999999,40.7852441,-73.94221689999999,40.770222,-73.957535,"neighborhood,political"
Yosemite National Park,"Yosemite National Park, California, USA",ChIJxeyK9Z3wloAR_gOA7SycJC0,37.8651011,-119.5383294,37.86645008029149,-119.5369804197085,37.86375211970849,-119.5396783802915,"park,point_of_interest,establishment"
Yosemite National Park (Calif),"Yosemite National Park, California, USA",ChIJxeyK9Z3wloAR_gOA7SycJC0,37.8651011,-119.5383294,37.86645008029149,-119.5369804197085,37.86375211970849,-119.5396783802915,"park,point_of_interest,establishment"
Yugoslavia,"Yugoslavia, Hualpen, Hualpén, Región del Bío Bío, Chile",ChIJ5fHUXpXKaZYRI_7GHkSDTks,-36.7810028,-73.11037999999999,-36.7796904697085,-73.10319009999999,-36.7823884302915,-73.1174563,route
Yulin (China),"Yulin, Shaanxi, China",ChIJHdNE9KBSDTYRezbiRo50e0c,38.28539,109.734589,38.3981025,109.8584747,38.1846468,109.6188354,"locality,political"
Yunnan Province (China),"Yunnan, China",ChIJKVugMtuD0DYRKayNyrfrPKY,25.045806,102.710002,29.2233272,106.1977228,21.1417698,97.5279786,"administrative_area_level_1,political"
Yushu (China),"Yushu, Yushu, Qinghai, China",ChIJlyB190VLCTcRzu3qrPr9D58,32.993107,97.00878499999999,33.7617721,97.7310679,32.024041,95.6839579,"sublocality_level_1,sublocality,political"
Zagreb (Croatia),"Zagreb, Croatia",ChIJOcwCyZLWZUcRisL7KJYkRTo,45.8150108,15.981919,45.9395392,16.1069727,45.7408527,15.8216904,"locality,political"
Zambia,Zambia,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,-13.133897,27.849332,-8.203284,33.7090305,-18.077418,21.999351,"country,political"
Zermatt (Switzerland),"Zermatt, Switzerland",ChIJzeUuKaI1j0cRcG8ZQIj_AAQ,46.0207133,7.749117000000001,46.0642799,7.90881,45.91689,7.5750799,"locality,political"
Zimbabwe,Zimbabwe,ChIJYXGxBuekMRkR7r_LxV84wKE,-19.015438,29.154857,-15.609319,33.068236,-22.4223538,25.237368,"country,political"
Zurich (Switzerland),"Zürich, Switzerland",ChIJGaK-SZcLkEcRA9wf5_GNbuY,47.3768866,8.541694,47.43468,8.6253701,47.32023,8.448059899999999,"locality,political"
